text|label
முதல்வர் மருத்துவக் காப்பீடு தொகை ஐந்து லட்சமாக அதிகரிப்பு|தமிழ்நாடு
“விவசாயிகள் தன்னம்பிக்கையை இழக்கக் கூடாது” - நிர்மலா சீதாராமன்|அரசியல்
கஜா புயலால் சேதம் - தென்னை விவசாயி தூக்கிட்டு தற்கொலை|தமிழ்நாடு
சேயுடன் தண்ணீரில் குதித்த தாய் - காப்பாற்ற சென்றவர் பலியான சோகம்|இந்தியா
டெல்லியில் விமான சேவை பாதிப்பு|இந்தியா
70 ஆண்டுகளில் 15000 பிரசவம்: காலமானார் கிராமத்து மருத்துவச்சி நரசம்மா|இந்தியா
‘நாளை முத்தலாக் மசோதா விவாதம்’ - எம்.பிக்கள் ஆஜராக பாஜக அறிவுறுத்தல்|இந்தியா
கஜா புயல் பாதிப்பிற்கு மத்திய அரசு நிதி வழங்கவில்லை - நீதிமன்றத்தில் தமிழக அரசு|தமிழ்நாடு
“உண்மைக் குற்றவாளிகளை பொன்.மாணிக்கவேல் பிடிக்கவில்லை” - அதிகாரிகள் பரபரப்பு புகார்|தமிழ்நாடு
கஜா புயல் பாதிப்பிற்கு மத்திய அரசு நிதி வழங்கவில்லை - நீதிமன்றத்தில் தமிழக அரசு|தமிழ்நாடு
வர்த்தகத்திற்காக மீண்டும் திமிங்கல வேட்டை - ஜப்பான் திட்டம்|உலகம்
திமிங்கலத்தின் வயிற்றில் இருந்து இவ்வளவு பிளாஸ்டிக்கா ?|உலகம்
ஆன்லைன் நிறுவனங்களுக்கு கடுமையான‌ கட்டுப்பாடு|இந்தியா
ஆன்லைன்‌ விற்பனைக்கு விரைவில் மத்திய அரசு கட்டுப்பாடு?|இந்தியா
ஸ்டெர்லைட் நிர்வாகம் உச்சநீதிமன்றத்தில் கேவியட் மனு தாக்கல்..!|தமிழ்நாடு
ஆஸி.டெஸ்ட்: 6 விக்கெட் சாய்த்தார் ஷமி, இந்திய வெற்றிக்கு 287 ரன் இலக்கு!|விளையாட்டு
கள்ள நோட்டுகளை புழக்கத்தில் விட்ட கும்பல் கைது|குற்றம்
இந்தோனேஷிய சுனாமி: பலி எண்ணிக்கை 168 ஆக உயர்வு!|உலகம்
ஆன்லைன் மருந்து விற்பனை தடையை நீக்க முடியாது: சென்னை உயர் நீதிமன்றம்|தமிழ்நாடு
சபரிமலைக்கு செல்ல முயன்ற பெண்கள் மீண்டும் மதுரைக்கு திரும்ப முடிவு|இந்தியா
கட்டப்பட்டு வரும் வீடுகளுக்கு ஜிஎஸ்டி குறைகிறது..!|வணிகம்
நிவாரண நிதிக்கா..? தனிப்பட்ட அரசியலுக்கா..? முதல்வர் டெல்லி பயணம் குறித்து தினகரன் கேள்வி|அரசியல்
டீக்கடை கடன் தள்ளுபடி ! அசத்திய உரிமையாளர்|தமிழ்நாடு
“பாலியல் பாதிப்புக்குள்ளான பெண் என் வீட்டில் நடனமாடுவாரா?” - எம்.ஜே.அக்பர் மனைவி கேள்வி|இந்தியா
'போலீஸ் அதிகாரி தன்னைத்தானே சுட்டுக்கொண்டார்' பாஜக எம்.எல்.ஏ.சர்ச்சை கருத்து|இந்தியா
சிறுத்தை ஊருக்குள் புகும் பிரச்னைக்கு தீர்வுதான் என்ன ?|சிறப்புச் செய்திகள்
போலீஸ் பாதுகாப்போடு பயணித்த 11 பெண்கள் : மிரட்டிய பக்தர்கள்.. நிறுத்தப்பட்ட பயணம்..|இந்தியா
புதிய உயரழுத்த மின்கோபுரங்களால் கதறும் தமிழக விவசாயிகள்..!|சிறப்புச் செய்திகள்
விவசாயிகள், அதிகாரிகள் இணைந்த வாட்ஸ் அப் குழு|தமிழ்நாடு
இந்திய அளவில் ட்ரெண்ட் ஆன அஜித்தின் ‘தள்லே தில்லாலே’ |சினிமா
‘பெண்கள் வசிய புகார்’ ஜோதிடரின் படுகொலை பின்னணி என்ன?|தமிழ்நாடு
ரபேல் மற்றும் மேகதாது அமளியால் இரு அவைகளும் ஒத்திவைப்பு |இந்தியா
“மெரினா பணியை ஆய்வு செய்ய வாக்கிங் போகலாம்”-நீதிமன்றம் ஆலோசனை|தமிழ்நாடு
‘க்ரைம் திரில்லர்’ திரைப்படங்கள் எடுக்க மிஷ்கினுக்கு தடை |சினிமா
எஸ்பி யத்திஷ் சந்திராவுக்கு எதிராக மக்களவையில் உரிமை மீறல் நோட்டீஸ்|இந்தியா
மூடப்படுகிறது அபிராமி மெகா மால் ! இரண்டு ஆண்டுகளுக்கு பின்பு திறக்கப்படும்|சினிமா
“விமர்சனம் இல்லாத எந்தக் கலையும் வளராது” - பா. ரஞ்சித்|சினிமா
42 பேரைச் சுட்டுக்கொன்ற ஹாசிம்புரா வழக்கு: 16 போலீசாருக்கு ஆயுள்!|இந்தியா
4 மணி நேரம் சீறிப்பாய்ந்த ஆம்புலன்ஸ்கள்.. குழந்தையின் உயிருக்காக கூட்டு முயற்சி..!|தமிழ்நாடு
டெல்டா மக்களுக்கு உதவ நடிகர் சிம்பு வீடியோவில் புதிய யோசனை|தமிழ்நாடு
‘என் மீதான பாலியல் புகார்கள் பொய்யானவை’ - எம்.ஜே.அக்பர்|இந்தியா
“மீ டூ விவகாரத்தில் ஒருவாரத்தில் முக்கிய முடிவு” - சங்கத் தலைவர் அறிவிப்பு |சினிமா
ஹவாலா மோசடியில் சென்னையில் இருவர் கைது|தமிழ்நாடு
விவசாய கடனை தள்ளுபடி செய்துவிட்டால் பிரச்னை தீர்ந்துவிடுமா? - நிதி ஆயோக் கேள்வி|இந்தியா
கன்னடர்களும், தமிழர்களும் எதிரிகள் அல்ல; சகோதர சகோதரிகளே - முதல்வர் குமாரசாமி|அரசியல்
துப்பாக்கிச் சூடு சம்பவத்துக்கு பின் நடிகைக்கு மீண்டும் கொலைமிரட்டல்!|சினிமா
டப்பிங் சங்கத்தில் இருந்து நீக்கப்பட்டார் சின்மயி !|சினிமா
நேர்மறை எண்ணங்களை வைரலாக்குங்கள்: பிரதமர் மோடி|இந்தியா
“கூகுள் நிறுவனத்தில் பாலியல் தொல்லை” - ஊழியர்கள் வேலை நிறுத்தம்|இந்தியா
உருளைக்கிழங்கு உற்பத்தியை அதிகரிக்க மதுபானம்.. அதிர்ச்சி தகவல்..!|இந்தியா
‘நாளை முத்தலாக் மசோதா விவாதம்’ - எம்.பிக்கள் ஆஜராக பாஜக அறிவுறுத்தல்|இந்தியா
வெளிநாட்டு சிகிச்சையை விரும்பவில்லையா ஜெயலலிதா..?|தமிழ்நாடு
ஜல்லிக்கட்டு வழக்கை விரைந்து நடத்த பீட்டா கோரிக்கை|தமிழ்நாடு
எங்கள் மீதான குற்றச்சாட்டு ஆதாரமற்றது - அப்போலோ மருத்துவமனை|தமிழ்நாடு
’நான் புதுசு, தவறு செய்துவிட்டேன்’: ஒப்புக்கொண்ட சர்ச்சை நடுவர்!|விளையாட்டு
மெரினாவை வளைத்தது போலீஸ்: 25 பேர் கைது|தமிழ்நாடு
விவசாயிகளுக்கு ஆதரவு: பச்சைக்கு மாறியது சமூக வலைதள பக்கங்கள்!|சிறப்புச் செய்திகள்
திருநங்கை பிரித்திகா யாசினிக்கு தர்மபுரியில் சப்-இன்ஸ்பெக்டர் பணி|தமிழ்நாடு
விவசாயிகளுக்கு ஆதரவு: பச்சைக்கு மாறியது சமூக வலைதள பக்கங்கள்!|சிறப்புச் செய்திகள்
இன்றைய கூகுள் டூடுளில் பாபா ஆம்தே: யார் இவர்?|இந்தியா
மோடியை சந்தித்தார் சந்திர சேகர் ராவ் - பேசியது என்ன?|அரசியல்
மதுரையைக் கலக்கும் மணம் மாறாத மண்குவளை பால்|தமிழ்நாடு
ரஃபேல் விவகாரம் ! கடந்தாண்டுகளில் கடந்து வந்த பாதை|இந்தியா
ரஃபேல் விமான விலை குறித்த விவரங்களை தாக்கல் செய்ய உத்தரவு|இந்தியா
“விமானப்படை அதிகாரிகளை வரச்சொல்லுங்கள்” : ரஃபேல் வழக்கில் அனல் பறக்கும் விவாதம்|இந்தியா
கஜா புயல் எச்சரிக்கை... பல்வேறு மாவட்ட பள்ளி, கல்லூரிகளுக்கு நாளை விடுமுறை|தமிழ்நாடு
'கதை திருட்டு என சொல்வதே வருத்தமளிக்கிறது' சர்கார் குறித்து சமுத்திரக்கனி|சினிமா
“சாமுவேல்ஸை வெறுப்பேத்துவதா..!” - கலீலுக்கு ஐசிசி எச்சரிக்கை|விளையாட்டு
“புஜாரா இருந்தா இந்தியாவுக்கு கஷ்டம்தான்” - ரிக்கி பாண்டிங்|விளையாட்டு
”தான் ஆபத்தானவர் என டிடிவியே ஒப்புக்கொண்டார்” - அமைச்சர் ஜெயக்குமார்|அரசியல்
ஜெயலலிதா பணிப் பெண்கள் 3 பேர் விசாரணை ஆணையத்தில் ஆஜர்|தமிழ்நாடு
நடிகை ஸ்வேதா பாசு திருமணம்: இயக்குனரை மணந்தார்!|சினிமா
ரூ.399 ரீசார்ஜ் செய்தால் அதே அளவிலான தொகை பெறலாம்...! ஜியோ நியூ இயர் ஆஃபர்..!|வணிகம்
ஜனவரி முதல் சுங்கச்சாவடியில் கட்டணம் இல்லை..?: வேகமாக பரவும் போலி செய்தி..!|தமிழ்நாடு
நேரு அருங்காட்சியகத்தை மாற்ற வேண்டாம் : மன்மோகன் கடிதம்|இந்தியா
தீபாவளி சந்தையில் 5 கோடிக்கு மேல் ஆடுகள் விற்பனை |தமிழ்நாடு
“பாலியல் பாதிப்புக்குள்ளான பெண் என் வீட்டில் நடனமாடுவாரா?” - எம்.ஜே.அக்பர் மனைவி கேள்வி|இந்தியா
ஜன.1 முதல் ஆந்திராவுக்கு தனி உயர்நீதிமன்றம் - குடியரசு தலைவர் அறிவிப்பு|இந்தியா
காஷ்மீரில் மோதல் : 4 பயங்கரவாதிகள் சுட்டுக்கொலை|இந்தியா
கெட்டுப்போன இறைச்சி விவகாரம்: மேலும் மூவர் கைது|தமிழ்நாடு
வசதியானவர்களை குறிவைக்கும் 'கூகுள் மேப்' கொள்ளையர்கள்.. அதிரடி காட்டிய போலீஸ்..!|தமிழ்நாடு
இணையத்தில் கசிந்த காட்சிகள் : முன்கூட்டியே வெளியான ‘பேட்ட’ டிரைலர்|சினிமா
மெரினாவில் டைவ் அடித்து குளித்த போலீஸ் : படுகாயத்துடன் மீட்பு|தமிழ்நாடு
இணையத்தில் கசிந்த காட்சிகள் : முன்கூட்டியே வெளியான ‘பேட்ட’ டிரைலர்|சினிமா
நடிகர் மகேஷ்பாபுவின் வங்கிக் கணக்குகள் முடக்கம் !|சினிமா
2 பாகமாக வெளியாகும் என்.டி.ஆர் திரைப்படம்|சினிமா
தமிழ்நாடு வனத்துறையில் வேலைவாய்ப்பு - 1178 காலிப் பணியிடங்கள் அறிவிப்பு|கல்வி & வேலைவாய்ப்பு
132 அடியாக உயர்ந்தது முல்லைப்பெரியாறு அணை நீர்மட்டம்|தமிழ்நாடு
132 அடியாக உயர்ந்தது முல்லைப்பெரியாறு அணை நீர்மட்டம்|தமிழ்நாடு
2 பாகமாக வெளியாகும் என்.டி.ஆர் திரைப்படம்|சினிமா
புதிய உயரழுத்த மின்கோபுரங்களால் கதறும் தமிழக விவசாயிகள்..!|சிறப்புச் செய்திகள்
பைக் திருடர்களை 43 கி.மீ பின் தொடர்ந்து சென்று பொறி வைத்து பிடித்த போலீஸ்|குற்றம்
’எங்க வெற்றி இதோட நிற்காது...’ விராத் ஆக்ரோஷ பேட்டி!|விளையாட்டு
மகளுக்காக கிரிக்கெட் கிரவுண்ட் தயாரித்த தந்தை ! ஜெய்பூரில் ஒரு 'கனா'|இந்தியா
“கம்பீரக் குரலுடன் களமிறங்குவார் விஜயகாந்த்” - விஜய பிரபாகரன்|தமிழ்நாடு
இடைநிலை ஆசிரியர்களின் உண்ணாவிரதப் போராட்டம் வாபஸ்..!|தமிழ்நாடு
“யானைப் பசிக்கு சோளப்பொறி போன்றது” - கலைப்புலி எஸ்.தாணு|சினிமா
இந்தோனேஷியாவில் பயங்கரம்: சுனாமிக்கு 43 பேர் பலி, 582 பேர் படுகாயம்!|உலகம்
ஒடிஷா முதல்வரை சந்தித்தார் சந்திரசேகர ராவ்|இந்தியா
'இது கே.சி.ஆர். வெர்ஷன் 2.0' தெலுங்கானாவில் வைரலாகும் புகைப்படம்|இந்தியா
வேட்டையாடியதாக பிரபல கோல்ஃப் வீரர் கைது|இந்தியா
'பேட்ட' டிரைலர் நாளை வெளியீடு ! உற்சாகத்தில் ரசிகர்கள்|சினிமா
நடிகர் சீனு மோகன் காலமானார் !|சினிமா
தொண்டர்களுடன் உரையாட வாட்ஸ்அப் குழுக்கள்.. பாஜக முடிவு|இந்தியா
'விஸ்வாசம்' டீஸர் எப்போது ?|சினிமா
வட்டியுடன் சேர்த்து பயிர்க்கடனை தள்ளுபடி செய்யுங்கள் - நபார்டு கோரிக்கை|இந்தியா
ரஃபேல் விமான விலை குறித்த விவரங்களை தாக்கல் செய்ய உத்தரவு|இந்தியா
''மக்கள் தொகையை கட்டுப்படுத்த சட்டம்'' : மத்திய அமைச்சர் கிரிராஜ் சிங் |இந்தியா
பிறந்த நாளை எப்படி கொண்டாட வேண்டும்? மத்திய அமைச்சர் விளக்கம்|இந்தியா
கேக்கில் மிக்ஸியும் கிரைண்டரும் ! சர்கார் வெற்றியை கொண்டாடிய படக்குழு|சினிமா
‘சர்கார்’ படத்திற்கு ஆதரவாக அரிவாளுடன் பேசிய இளைஞர்கள் கைது|தமிழ்நாடு
முடிவுக்கு வருமா விவசாயிகள் போராட்டம்?|தமிழ்நாடு
காக்கப்படுமா மண்பாண்டங்களை உருவாக்கும் கலை ?|தமிழ்நாடு
100 ஆண்டு பழமையான பழ கேக் கண்டுபிடிப்பு|உலகம்
உறைந்து பனிப்பாறையாக மாறிய நயாகரா நீர்வீழ்ச்சி|உலகம்
பாஜக அரசை விமர்சித்த மம்தா பானர்ஜி மீது வழக்குப்பதிவு|அரசியல்
பரபரப்பான சூழலில் நாடாளுமன்ற குளிர்கால கூட்டத்தொடர் இன்று தொடக்கம்|இந்தியா
ராகுல் காந்தி வீட்டின் முன் தொண்டர்கள் பூஜை!|இந்தியா
நடிகர் ஆமிர்கான் நிகழ்ச்சியை ரத்து செய்த சீன பல்கலைக்கழகம்!|சினிமா
“கஜா பாதிப்பால் மிகவும் வருத்தமடைந்தேன்” - ஆமிர் கான்|சினிமா
தெலுங்கானா காங்கிரஸ் கமிட்டி செயல் தலைவரானார் அசாருதீன்|அரசியல்
அண்ணா பல்கலைக்கழக தேர்வு தேதி அறிவிப்பு |தமிழ்நாடு
உருவானது ‘பெய்ட்டி’ புயல் - சென்னையில் கனமழை வாய்ப்பு|தமிழ்நாடு
மாணவர்களிடம் பேசக்கூடாது : பல்கலை கழக விடுதி மாணவிகளுக்கு கட்டுப்பாடு|இந்தியா
தருமபுரி பேருந்து எரிப்பு வழக்கு ! ஒரு துயரமான 'பிளாஷ்பேக்'|சிறப்புச் செய்திகள்
மிக்கி மவுசின் பிறந்தநாள் ! புகைப்படங்கள் ஏலம்!|உலகம்
மாணவிகள் கொலுசு அணிவதால், மாணவர்களின் கவனம் சிதறும் - அமைச்சர் செங்கோட்டையன்|தமிழ்நாடு
அழகு நிலையத்தில் பெண்ணை தாக்கிய திமுக பிரமுகர் மீண்டும் கட்சியில் சேர்ப்பு|அரசியல்
“இந்தியா வந்தால், என்னை அடித்துக் கொன்றுவிடுவார்கள்” - நிரவ் மோடி|இந்தியா
“இந்தியா வந்தால், என்னை அடித்துக் கொன்றுவிடுவார்கள்” - நிரவ் மோடி|இந்தியா
அமெரிக்காவில் தஞ்சம் கோரும் இந்தியர்கள்|உலகம்
சுருளி; கோவை குற்றால அருவிகளில் குளிக்க தடை |தமிழ்நாடு
கமல்ஹாசனுக்காக களரி கற்கும் காஜல் அகர்வால் |சினிமா
எட்டு கோடிக்கு ஏலம் போன இந்த ‘வருண் சக்கரவர்த்தி’ யார்?|விளையாட்டு
இந்துக்களால்தான் ஜனநாயகம் காக்கப்படுகிறது: மத்திய அமைச்சர் கிரிராஜ் சிங்|அரசியல்
ஜிம்பாப்வேயில் வெளிநாட்டு பத்திரிகையாளர்களுக்கு தடை|உலகம்
ஜிம்பாப்வேயில் வெளிநாட்டு பத்திரிகையாளர்களுக்கு தடை|உலகம்
“சிவில் சர்வீஸ் தேர்வின் வயது வரம்பைக் குறையுங்கள்” - நிதி ஆயோக் பரிந்துரை|கல்வி & வேலைவாய்ப்பு
“விதைப்புச் சான்றிதழ் இருந்தால் பயிர்க்காப்பீடு பெறலாம்” - ககன் தீப் சிங் பேடி|தமிழ்நாடு
“வீழ்ந்து கிடக்கும் விவசாயிகளிடம் பேரம் பேசாதீர்கள்” - ஜி.வி.பிரகாஷ் |தமிழ்நாடு
ஜனவரி முதல் சுங்கச்சாவடியில் கட்டணம் இல்லை..?: வேகமாக பரவும் போலி செய்தி..!|தமிழ்நாடு
சுரங்க விபத்து: தொடரும் தாமதம், என்ன நடக்கிறது மேகாலயாவில்?|இந்தியா
நிலக்கரி சுரங்கத்தில் சிக்கிய தொழிலாளர்களை மீட்கும் பணி தீவிரம்!|இந்தியா
சுரங்கத்தில் சிக்கிய 13 பேரை, எப்படியும் மீட்போம்: தேசிய பேரிடர் அதிகாரி தகவல்|இந்தியா
சபரிமலை விவகாரம்... கேரள பாஜகவிலிருந்து இரண்டு பேர் விலகல்..!|இந்தியா
பணம் கொழிக்கும் பிசிசிஐ உருவானது இப்படித்தான் !|விளையாட்டு
சபரிமலை விவகாரம்... கேரள பாஜகவிலிருந்து இரண்டு பேர் விலகல்..!|இந்தியா
அரசு நிகழ்ச்சிகளில் அசைவ உணவுக்கு தடை: பாஜக எம்.பி மசோதா|இந்தியா
“பந்துவீச்சாளர்கள் ஐபிஎல் விளையாடலாமா?” - எதிரெதிர் கருத்தில் தோனி, கும்பளே |விளையாட்டு
ராக்கி கட்டியதால் லிம்கா புத்தகத்தில் இடம்பிடித்த ம.பி. அமைச்சர்|இந்தியா
நடிகை ராக்கி சாவந்துக்கு மிரட்டல்!|சினிமா
நவீன கொள்ளையர்களாக மாறிய உணவகங்கள்..!|சிறப்புச் செய்திகள்
ரூ.399 ரீசார்ஜ் செய்தால் அதே அளவிலான தொகை பெறலாம்...! ஜியோ நியூ இயர் ஆஃபர்..!|வணிகம்
எல்லாம் சரியாகத்தான் போய்க் கொண்டிருக்கிறது ராஜன் - பதில் கொடுக்கும் எஸ்.ஆர்.சேகர்|சிறப்புச் செய்திகள்
